"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp1B_S4","RF8A10",8,0.5,20.4,10,4.38643536999997
"Exp1B_S4","RF10A10",10,0.5,24.73,11,7.92724018000006
"Exp1B_S4","RF14A10",14,0.5,33.57,12,2.89849882999997
"Exp1B_S4","RF20A10",20,0.5,47.08,13,3.08090629999998
"Exp1B_S5","RF0A0",0,0,7.22,1,3.50945496000001
"Exp1B_S5","RF8A2",8,0.1,8.27,2,17.70938152
"Exp1B_S5","RF10A2",10,0.1,8.79,3,10.0175977600001
"Exp1B_S5","RF14A2",14,0.1,10.01,4,26.80109926
"Exp1B_S5","RF20A2",20,0.1,12.12,5,8.15572004000002
"Exp1B_S5","RF8A5",8,0.25,12.16,6,15.38132584
"Exp1B_S5","RF10A5",10,0.25,14.08,7,5.92350104000003
"Exp1B_S5","RF14A5",14,0.25,18.18,8,3.84898149999995
"Exp1B_S5","RF20A5",20,0.25,24.63,9,7.07799242
"Exp1B_S5","RF8A10",8,0.5,20.4,10,6.23594977000002
"Exp1B_S5","RF10A10",10,0.5,24.73,11,2.54524655999997
"Exp1B_S5","RF14A10",14,0.5,33.57,12,2.31221871000003
"Exp1B_S5","RF20A10",20,0.5,47.08,13,1.91274676
"Exp1B_S20","RF0A0",0,0,7.22,1,18.54912478
"Exp1B_S20","RF8A2",8,0.1,8.27,2,39.38633521
"Exp1B_S20","RF10A2",10,0.1,8.79,3,28.07593096
"Exp1B_S20","RF14A2",14,0.1,10.01,4,8.73456763999996
"Exp1B_S20","RF20A2",20,0.1,12.12,5,31.67032866
"Exp1B_S20","RF8A5",8,0.25,12.16,6,15.81384902
"Exp1B_S20","RF10A5",10,0.25,14.08,7,34.75964686
"Exp1B_S20","RF14A5",14,0.25,18.18,8,7.80159871999999
"Exp1B_S20","RF20A5",20,0.25,24.63,9,4.03884118999999
"Exp1B_S20","RF8A10",8,0.5,20.4,10,3.79121314000001
"Exp1B_S20","RF10A10",10,0.5,24.73,11,6.23150599999995
"Exp1B_S20","RF14A10",14,0.5,33.57,12,5.5684181099999
"Exp1B_S20","RF20A10",20,0.5,47.08,13,3.50398548999995
"Exp1B_S6","RF0A0",0,0,7.22,1,7.02550748999995
"Exp1B_S6","RF8A2",8,0.1,8.27,2,21.74479541
"Exp1B_S6","RF10A2",10,0.1,8.79,3,14.72492064
