"Subject_ID","Condition_number","Radial_frequency","Amplitude","Order","Condition_repeat_number","MousePos_X","MousePos_Y","TargetClicked","ClickTime","TargetPos_X","TargetPos_Y","TargetID","Condition_name","RelativeClickPos_X","RelativeClickPos_Y"
"Exp2B_S6",7,10,0.25,10,1,14.0987539386995,4.80401986059391,"T5",31.8392754,7.65149811753415,14.0645286373553,"T4","RF10A5",6.44725582116536,-9.26050877676136
"Exp2B_S6",2,8,0.1,11,1,-10.5061825646902,6.01546834717846,"T4",3.55323820000012,-10.1488449606609,5.12183023805292,"T4","RF8A2",-0.357337604029251,0.893638109125544
"Exp2B_S6",2,8,0.1,11,1,9.19029886374487,2.75708965912346,"T2",5.45735639999998,-10.1488449606609,5.12183023805292,"T4","RF8A2",19.3391438244058,-2.36474057892945
"Exp2B_S6",2,8,0.1,11,1,-7.60288360546166,-11.4043254081925,"T3",9.02520720000007,-10.1488449606609,5.12183023805292,"T4","RF8A2",2.54596135519924,-16.5261556462454
"Exp2B_S6",2,8,0.1,11,1,-12.177145994462,11.7385180941469,"T5",21.0570361,-10.1488449606609,5.12183023805292,"T4","RF8A2",-2.02830103380104,6.61668785609394
"Exp2B_S6",2,8,0.1,11,1,-12.8664184092428,-16.855843597823,"miss",159.2230589,-10.1488449606609,5.12183023805292,"T4","RF8A2",-2.71757344858191,-21.9776738358759
"Exp2B_S6",12,14,0.5,12,1,-10.7777141220281,5.242647760909,"T3",2.23414019999996,-4.59221466704118,-7.75769575132774,"T4","RF14A10",-6.18549945498689,13.0003435122367
"Exp2B_S6",12,14,0.5,12,1,-4.32361787453452,-7.7490929055667,"T4",3.41094169999997,-4.59221466704118,-7.75769575132774,"T4","RF14A10",0.268596792506665,0.00860284576104586
"Exp2B_S6",12,14,0.5,12,1,6.57941850472644,2.13047837295904,"T1",4.26579099999981,-4.59221466704118,-7.75769575132774,"T4","RF14A10",11.1716331717676,9.88817412428678
"Exp2B_S6",12,14,0.5,12,1,11.0074715936217,9.48271746395493,"T5",5.17788829999995,-4.59221466704118,-7.75769575132774,"T4","RF14A10",15.5996862606629,17.2404132152827
"Exp2B_S6",12,14,0.5,12,1,13.7227871670009,-10.3808603074573,"T2",5.96202049999988,-4.59221466704118,-7.75769575132774,"T4","RF14A10",18.315001834042,-2.62316455612953
"Exp2B_S6",9,20,0.25,13,1,0.793707629141602,10.2346510073522,"T3",1.55503750000003,-13.3884308125586,10.4648529834673,"T4","RF20A5",14.1821384417002,-0.230201976115085
"Exp2B_S6",9,20,0.25,13,1,-13.6392389955123,10.2555380502244,"T4",2.69415789999994,-13.3884308125586,10.4648529834673,"T4","RF20A5",-0.250808182953701,-0.209314933242936
"Exp2B_S6",9,20,0.25,13,1,14.9342356535854,10.7986011649002,"T5",4.27492899999993,-13.3884308125586,10.4648529834673,"T4","RF20A5",28.322666466144,0.333748181432895
"Exp2B_S6",9,20,0.25,13,1,3.55079728826506,-13.6183519526401,"T2",7.10699909999994,-13.3884308125586,10.4648529834673,"T4","RF20A5",16.9392281008236,-24.0832049361074
"Exp2B_S6",9,20,0.25,13,1,-8.31304306311468,-5.26353480378115,"T1",10.1789581,-13.3884308125586,10.4648529834673,"T4","RF20A5",5.07538774944389,-15.7283877872485
"Exp2B_S6",2,8,0.1,14,2,-12.7410961520099,-3.59257137400936,"T1",1.64126950000013,-15.7121837715701,2.55567858152137,"T4","RF8A2",2.9710876195602,-6.14824995553073
