"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp2A_S9","RF3A2",3,0.1,6.72,2,36.15867603
"Exp2A_S9","RF4A2",4,0.1,6.83,3,16.28141215
"Exp2A_S9","RF5A2",5,0.1,6.97,4,12.22382288
"Exp2A_S9","RF8A2",8,0.1,7.52,5,25.41154167
"Exp2A_S9","RF3A5",3,0.25,6.53,6,10.2893115599999
"Exp2A_S9","RF4A5",4,0.25,7.04,7,35.8667130700001
"Exp2A_S9","RF5A5",5,0.25,7.64,8,11.3205955299999
"Exp2A_S9","RF8A5",8,0.25,9.72,9,21.1470864
"Exp2A_S9","RF3A10",3,0.5,6.99,10,36.87421856
"Exp2A_S9","RF4A10",4,0.5,8.2,11,22.0357112300001
"Exp2A_S9","RF5A10",5,0.5,9.5,12,55.66502767
"Exp2A_S9","RF8A10",8,0.5,13.67,13,17.05736004
"Exp2A_S10","RF0A0",0,0,7.22,1,9.66614163000015
"Exp2A_S10","RF3A2",3,0.1,6.72,2,9.10446558
"Exp2A_S10","RF4A2",4,0.1,6.83,3,29.4968332400002
"Exp2A_S10","RF5A2",5,0.1,6.97,4,21.18188793
"Exp2A_S10","RF8A2",8,0.1,7.52,5,12.2966204200001
"Exp2A_S10","RF3A5",3,0.25,6.53,6,6.00505286000001
"Exp2A_S10","RF4A5",4,0.25,7.04,7,23.8268635899999
"Exp2A_S10","RF5A5",5,0.25,7.64,8,23.22947667
"Exp2A_S10","RF8A5",8,0.25,9.72,9,41.9500909
"Exp2A_S10","RF3A10",3,0.5,6.99,10,74.99001216
"Exp2A_S10","RF4A10",4,0.5,8.2,11,21.73925911
"Exp2A_S10","RF5A10",5,0.5,9.5,12,5.79917167
"Exp2A_S10","RF8A10",8,0.5,13.67,13,25.36789839
"Exp2A_S11","RF0A0",0,0,7.22,1,9.27954740999996
"Exp2A_S11","RF3A2",3,0.1,6.72,2,7.90290502000003
"Exp2A_S11","RF4A2",4,0.1,6.83,3,27.38877151
"Exp2A_S11","RF5A2",5,0.1,6.97,4,9.46839965000005
"Exp2A_S11","RF8A2",8,0.1,7.52,5,20.2348101299999
"Exp2A_S11","RF3A5",3,0.25,6.53,6,6.64836299000012
"Exp2A_S11","RF4A5",4,0.25,7.04,7,16.65969729
"Exp2A_S11","RF5A5",5,0.25,7.64,8,44.26833491
"Exp2A_S11","RF8A5",8,0.25,9.72,9,23.16662878
"Exp2A_S11","RF3A10",3,0.5,6.99,10,23.16977956
"Exp2A_S11","RF4A10",4,0.5,8.2,11,16.71255699
"Exp2A_S11","RF5A10",5,0.5,9.5,12,28.29445048
"Exp2A_S11","RF8A10",8,0.5,13.67,13,43.06427914
"Exp2A_S13","RF0A0",0,0,7.22,1,6.18224069999995
"Exp2A_S13","RF3A2",3,0.1,6.72,2,44.291737
"Exp2A_S13","RF4A2",4,0.1,6.83,3,86.71865968
"Exp2A_S13","RF5A2",5,0.1,6.97,4,41.9500688699999
"Exp2A_S13","RF8A2",8,0.1,7.52,5,44.8614337900001
"Exp2A_S13","RF3A5",3,0.25,6.53,6,29.5308833799999
"Exp2A_S13","RF4A5",4,0.25,7.04,7,15.8445469200001
"Exp2A_S13","RF5A5",5,0.25,7.64,8,10.5831438
"Exp2A_S13","RF8A5",8,0.25,9.72,9,40.10143317
"Exp2A_S13","RF3A10",3,0.5,6.99,10,11.38871867
"Exp2A_S13","RF4A10",4,0.5,8.2,11,26.1326018800002
"Exp2A_S13","RF5A10",5,0.5,9.5,12,32.46908336
"Exp2A_S13","RF8A10",8,0.5,13.67,13,9.71690868000006
"Exp2A_S14","RF0A0",0,0,7.22,1,10.33519846
"Exp2A_S14","RF3A2",3,0.1,6.72,2,17.2274012300002
"Exp2A_S14","RF4A2",4,0.1,6.83,3,38.7230235
"Exp2A_S14","RF5A2",5,0.1,6.97,4,41.5535797999999
"Exp2A_S14","RF8A2",8,0.1,7.52,5,63.2735557600001
"Exp2A_S14","RF3A5",3,0.25,6.53,6,26.4251975900002
"Exp2A_S14","RF4A5",4,0.25,7.04,7,24.40841465
"Exp2A_S14","RF5A5",5,0.25,7.64,8,19.99151801
"Exp2A_S14","RF8A5",8,0.25,9.72,9,67.9521871700001
"Exp2A_S14","RF3A10",3,0.5,6.99,10,26.0887174000001
"Exp2A_S14","RF4A10",4,0.5,8.2,11,43.9082955399999
"Exp2A_S14","RF5A10",5,0.5,9.5,12,24.7934810000001
"Exp2A_S14","RF8A10",8,0.5,13.67,13,57.02882202
"Exp2A_S15","RF0A0",0,0,7.22,1,32.62347042
"Exp2A_S15","RF3A2",3,0.1,6.72,2,30.42758397
"Exp2A_S15","RF4A2",4,0.1,6.83,3,24.46293218
"Exp2A_S15","RF5A2",5,0.1,6.97,4,31.84065315
"Exp2A_S15","RF8A2",8,0.1,7.52,5,74.48821105
"Exp2A_S15","RF3A5",3,0.25,6.53,6,66.72101641
"Exp2A_S15","RF4A5",4,0.25,7.04,7,46.70394329
"Exp2A_S15","RF5A5",5,0.25,7.64,8,44.63999444
"Exp2A_S15","RF8A5",8,0.25,9.72,9,32.32348966
"Exp2A_S15","RF3A10",3,0.5,6.99,10,61.5108965
"Exp2A_S15","RF4A10",4,0.5,8.2,11,38.13310076
