"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp4_S6","RF10A2",10,0.1,8,3,31.99532937
"Exp4_S6","RF14A2",14,0.1,9.1,4,10.5703147
"Exp4_S6","RF20A2",20,0.1,11.03,5,23.417922
"Exp4_S6","RF8A5",8,0.25,9.72,6,11.20739075
"Exp4_S6","RF10A5",10,0.25,11.26,7,29.42950064
"Exp4_S6","RF14A5",14,0.25,14.55,8,16.64086549
"Exp4_S6","RF20A5",20,0.25,19.71,9,4.77533409
"Exp4_S6","RF8A10",8,0.5,13.67,10,4.32993908
"Exp4_S6","RF10A10",10,0.5,16.57,11,5.40634028
"Exp4_S6","RF14A10",14,0.5,22.49,12,3.35365957
"Exp4_S6","RF20A10",20,0.5,31.54,13,5.36961018
"Exp4_S7","RF0A0",0,0,7.22,1,14.22670578
"Exp4_S7","RF8A2",8,0.1,7.52,2,36.10399268
"Exp4_S7","RF10A2",10,0.1,8,3,39.12274624
"Exp4_S7","RF14A2",14,0.1,9.1,4,6.95126382
"Exp4_S7","RF20A2",20,0.1,11.03,5,19.36238226
"Exp4_S7","RF8A5",8,0.25,9.72,6,12.42868927
"Exp4_S7","RF10A5",10,0.25,11.26,7,17.71317127
"Exp4_S7","RF14A5",14,0.25,14.55,8,21.54315362
"Exp4_S7","RF20A5",20,0.25,19.71,9,10.95251742
"Exp4_S7","RF8A10",8,0.5,13.67,10,3.05092746
"Exp4_S7","RF10A10",10,0.5,16.57,11,11.88993814
"Exp4_S7","RF14A10",14,0.5,22.49,12,2.96649209
"Exp4_S7","RF20A10",20,0.5,31.54,13,3.2943625
"Exp4_S8","RF0A0",0,0,7.22,1,9.23322765
"Exp4_S8","RF8A2",8,0.1,7.52,2,14.60336576
"Exp4_S8","RF10A2",10,0.1,8,3,16.80712021
"Exp4_S8","RF14A2",14,0.1,9.1,4,12.87023423
"Exp4_S8","RF20A2",20,0.1,11.03,5,46.68963362
"Exp4_S8","RF8A5",8,0.25,9.72,6,43.45463887
"Exp4_S8","RF10A5",10,0.25,11.26,7,17.9653403
"Exp4_S8","RF14A5",14,0.25,14.55,8,8.0157176
"Exp4_S8","RF20A5",20,0.25,19.71,9,7.39466628
"Exp4_S8","RF8A10",8,0.5,13.67,10,5.07307152
"Exp4_S8","RF10A10",10,0.5,16.57,11,18.97858741
"Exp4_S8","RF14A10",14,0.5,22.49,12,3.53446956
"Exp4_S8","RF20A10",20,0.5,31.54,13,2.75997751
"Exp4_S9","RF0A0",0,0,7.22,1,12.45282636
"Exp4_S9","RF8A2",8,0.1,7.52,2,15.83076813
"Exp4_S9","RF10A2",10,0.1,8,3,44.86712451
"Exp4_S9","RF14A2",14,0.1,9.1,4,35.902076
"Exp4_S9","RF20A2",20,0.1,11.03,5,76.49624447
"Exp4_S9","RF8A5",8,0.25,9.72,6,34.61700079
"Exp4_S9","RF10A5",10,0.25,11.26,7,44.8553463
"Exp4_S9","RF14A5",14,0.25,14.55,8,8.26454605
"Exp4_S9","RF20A5",20,0.25,19.71,9,24.08466102
"Exp4_S9","RF8A10",8,0.5,13.67,10,8.63881477
"Exp4_S9","RF10A10",10,0.5,16.57,11,41.52971797
"Exp4_S9","RF14A10",14,0.5,22.49,12,6.99596845
"Exp4_S9","RF20A10",20,0.5,31.54,13,8.48591449
"Exp4_S10","RF0A0",0,0,7.22,1,7.20862072
"Exp4_S10","RF8A2",8,0.1,7.52,2,21.19315739
"Exp4_S10","RF10A2",10,0.1,8,3,51.12826163
"Exp4_S10","RF14A2",14,0.1,9.1,4,52.43630736
"Exp4_S10","RF20A2",20,0.1,11.03,5,4.00822041
"Exp4_S10","RF8A5",8,0.25,9.72,6,57.21693421
"Exp4_S10","RF10A5",10,0.25,11.26,7,6.23248817
