"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1B_S1","RF14A5",8,14,0.25,18.18,1,9,4,8.1100306,1,15.85221561,15.05104998
"Exp1B_S1","RF10A5",7,10,0.25,14.08,1,10,4,48.9985876,1,-0.32981097,-7.160434586
"Exp1B_S1","RF10A10",11,10,0.5,24.73,1,11,4,3.2546184,1,5.932901479,12.55532751
"Exp1B_S1","RF8A5",6,8,0.25,12.16,1,12,4,70.4875532,1,0.467587292,-11.71721842
"Exp1B_S1","RF0A0",1,0,0,7.22,1,13,4,14.4354981,1,3.486002482,-11.79262298
"Exp1B_S1","RF8A2",2,8,0.1,8.27,2,14,4,135.2022668,1,-2.840900634,10.60011162
"Exp1B_S1","RF0A0",1,0,0,7.22,2,15,4,28.578677,1,8.717820555,0.153876881
"Exp1B_S1","RF14A10",12,14,0.5,33.57,2,16,4,2.8761873,1,7.628358052,-7.544668038
"Exp1B_S1","RF10A2",3,10,0.1,8.79,2,17,4,10.881359,1,14.20033792,-7.193614888
"Exp1B_S1","RF10A5",7,10,0.25,14.08,2,18,4,30.0700343,1,-14.7473489,5.438019226
"Exp1B_S1","RF14A2",4,14,0.1,10.01,2,19,4,52.0598952,1,-2.584301682,-13.85478859
"Exp1B_S1","RF10A10",11,10,0.5,24.73,2,20,4,3.1487492,1,-4.257837154,0.271802382
"Exp1B_S1","RF20A5",9,20,0.25,24.63,2,21,4,2.3109214,1,-2.783774882,0.722963562
"Exp1B_S1","RF8A5",6,8,0.25,12.16,2,22,4,39.1399356,1,-3.34075757,-10.189714
"Exp1B_S1","RF20A10",13,20,0.5,47.08,2,23,4,2.5472104,1,9.590880813,-12.75890264
"Exp1B_S1","RF14A5",8,14,0.25,18.18,2,24,4,4.1673451,1,-10.27398408,-13.33776664
"Exp1B_S1","RF20A2",5,20,0.1,12.12,2,25,4,34.9445563,1,-10.94050102,15.54246045
"Exp1B_S1","RF8A10",10,8,0.5,20.4,2,26,4,4.6588427,1,3.691321377,8.535910085
"Exp1B_S1","RF20A2",5,20,0.1,12.12,1,1,5,23.8240158,1,-8.968106505,-15.24818674
"Exp1B_S1","RF14A10",12,14,0.5,33.57,1,2,5,27.7323381,1,-8.279998668,-10.28771332
"Exp1B_S1","RF20A10",13,20,0.5,47.08,1,3,5,5.0928128,1,15.41981216,-10.80043755
"Exp1B_S1","RF8A10",10,8,0.5,20.4,1,4,5,20.7602252,1,1.110401393,-6.802477672
"Exp1B_S1","RF8A2",2,8,0.1,8.27,1,5,5,41.6882286,1,-12.00208497,-8.243972494
"Exp1B_S1","RF20A5",9,20,0.25,24.63,1,6,5,4.5534215,1,14.13272098,-10.4385373
"Exp1B_S1","RF10A2",3,10,0.1,8.79,1,7,5,96.3381095,1,15.35760005,-1.568715437
"Exp1B_S1","RF14A2",4,14,0.1,10.01,1,8,5,9.1318609,1,15.70193789,-12.82455453
"Exp1B_S1","RF14A5",8,14,0.25,18.18,1,9,5,8.9342875,1,-5.939224059,9.411676042
"Exp1B_S1","RF10A5",7,10,0.25,14.08,1,10,5,57.2626131,1,-7.270560323,-15.96983892
"Exp1B_S1","RF10A10",11,10,0.5,24.73,1,11,5,4.342761,1,5.343232686,-12.65610837
"Exp1B_S1","RF8A5",6,8,0.25,12.16,1,12,5,180,0,-13.64303121,-14.2591485
"Exp1B_S1","RF0A0",1,0,0,7.22,1,13,5,58.4908721,1,11.43244925,0.902872412
"Exp1B_S1","RF8A2",2,8,0.1,8.27,2,14,5,180,0,-3.463611767,-3.530744287
"Exp1B_S1","RF0A0",1,0,0,7.22,2,15,5,180,0,-3.982554473,-2.899116958
"Exp1B_S1","RF14A10",12,14,0.5,33.57,2,16,5,3.6681412,1,-12.67441331,-14.28132404
"Exp1B_S1","RF10A2",3,10,0.1,8.79,2,17,5,39.7928699,1,-7.977190568,-12.03690361
"Exp1B_S1","RF10A5",7,10,0.25,14.08,2,18,5,175.7719354,1,-14.11547791,15.04998785
"Exp1B_S1","RF14A2",4,14,0.1,10.01,2,19,5,75.5955059,1,-11.20545869,15.26522751
"Exp1B_S1","RF10A10",11,10,0.5,24.73,2,20,5,3.5967598,1,-0.276187316,-13.23057144
"Exp1B_S1","RF20A5",9,20,0.25,24.63,2,21,5,2.7028368,1,3.095882735,-11.4554199
"Exp1B_S1","RF8A5",6,8,0.25,12.16,2,22,5,58.0916728,1,-15.44579762,-12.54684347
"Exp1B_S1","RF20A10",13,20,0.5,47.08,2,23,5,3.1471566,1,-13.5933795,-11.89963081
