"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1A_S21","RF3A5",6,3,0.25,8.17,1,1,4,180,0,-14.8742350010246,13.8236362357236
"Exp1A_S21","RF8A5",9,8,0.25,12.16,1,2,4,8.83031319999998,1,0.117707410921923,11.179692876598
"Exp1A_S21","RF4A10",11,4,0.5,12.24,1,3,4,4.84909849999997,1,-0.299809278257836,-12.9947216522882
"Exp1A_S21","RF5A2",4,5,0.1,7.66,1,4,4,19.0636737,1,12.6326739932529,13.6824012596271
"Exp1A_S21","RF4A2",3,4,0.1,7.51,1,5,4,5.01404669999999,1,-15.7767492020406,3.92793210875798
"Exp1A_S21","RF5A10",12,5,0.5,14.18,1,6,4,5.45177620000004,1,3.37105991839444,-11.1341515050865
"Exp1A_S21","RF3A10",10,3,0.5,10.43,1,7,4,71.286518,1,-10.7162387761676,13.4144129756363
"Exp1A_S21","RF3A2",2,3,0.1,7.38,1,8,4,7.2984348,1,-5.84976926933175,-13.2021965397459
"Exp1A_S21","RF8A10",13,8,0.5,20.4,1,9,4,4.77417429999991,1,2.23460168054288,-4.84234895614674
"Exp1A_S21","RF5A5",8,5,0.25,9.55,1,10,4,4.87399300000016,1,0.603537132369532,-4.22149176803475
"Exp1A_S21","RF4A5",7,4,0.25,8.8,1,11,4,24.8209666999999,1,15.7093260955397,7.38153034206908
"Exp1A_S21","RF0A0",1,0,0,7.22,1,12,4,5.30122559999995,1,-15.4593961353408,-13.3760327845001
"Exp1A_S21","RF8A2",5,8,0.1,8.27,1,13,4,45.2091038000001,1,-2.21556635793178,-6.57564530318377
"Exp1A_S21","RF8A10",13,8,0.5,20.4,2,14,4,5.58549089999997,1,11.4324121439642,-13.7758631312381
"Exp1A_S21","RF8A2",5,8,0.1,8.27,2,15,4,42.42471,1,-10.5829835807723,3.35789916032757
"Exp1A_S21","RF5A5",8,5,0.25,9.55,2,16,4,11.7385915999998,1,4.34480745101247,-15.8236080066461
"Exp1A_S21","RF3A10",10,3,0.5,10.43,2,17,4,16.543334,1,9.70890783074022,-7.56232355240704
"Exp1A_S21","RF5A2",4,5,0.1,7.66,2,18,4,4.89044710000007,1,2.36260894723777,-8.65401322557768
"Exp1A_S21","RF5A10",12,5,0.5,14.18,2,19,4,6.03708770000003,1,-13.7129696786423,-12.2294492340842
"Exp1A_S21","RF4A10",11,4,0.5,12.24,2,20,4,36.9739914000002,1,-5.88766079144476,-9.64087408374369
"Exp1A_S21","RF0A0",1,0,0,7.22,2,21,4,6.7265797,1,-2.22512295945897,-14.0611083508705
"Exp1A_S21","RF3A2",2,3,0.1,7.38,2,22,4,13.0300516999996,1,0.736194949037312,0.570289414192231
"Exp1A_S21","RF4A5",7,4,0.25,8.8,2,23,4,5.4793166999998,1,-11.8803355118507,6.21868613816197
"Exp1A_S21","RF8A5",9,8,0.25,12.16,2,24,4,22.7741311,1,-7.87298202247587,8.01519606291904
"Exp1A_S21","RF3A5",6,3,0.25,8.17,2,25,4,7.05330540000023,1,6.22481707973857,-4.60685805366523
"Exp1A_S21","RF4A2",3,4,0.1,7.51,2,26,4,3.57403810000005,1,2.22149783044921,-14.1719231509885
"Exp1A_S21","RF3A5",6,3,0.25,8.17,1,1,5,180,0,8.78105913893248,15.9927203232552
