"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored"
"Exp2_S12","RF4A2",3,4,0.1,6.83,2,17,1,1.97979209999994,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,2,18,1,4.38058629999978,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,2,19,1,1.32419260000006,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,2,20,1,1.50040660000013,1
"Exp2_S12","RF4A5",7,4,0.25,7.04,2,21,1,0.825144999999793,1
"Exp2_S12","RF5A2",4,5,0.1,6.97,2,22,1,0.998105600000144,1
"Exp2_S12","RF0A0",1,0,0,7.22,2,23,1,2.83585029999995,1
"Exp2_S12","RF3A10",10,3,0.5,6.99,2,24,1,1.01615309999988,1
"Exp2_S12","RF8A2",5,8,0.1,7.52,2,25,1,2.49137089999977,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,2,26,1,7.96840029999976,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,1,1,2,4.0083151,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,1,2,2,2.5186118,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,1,3,2,5.30385990000002,1
"Exp2_S12","RF5A5",8,5,0.25,7.64,1,4,2,3.58383070000002,1
"Exp2_S12","RF3A10",10,3,0.5,6.99,1,5,2,2.5293193,1
"Exp2_S12","RF4A5",7,4,0.25,7.04,1,6,2,6.21220770000002,1
"Exp2_S12","RF5A2",4,5,0.1,6.97,1,7,2,2.10858359999997,1
"Exp2_S12","RF8A2",5,8,0.1,7.52,1,8,2,15.3853454,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,1,9,2,6.46790510000005,1
"Exp2_S12","RF0A0",1,0,0,7.22,1,10,2,2.36508819999995,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,1,11,2,2.1623424999998,1
"Exp2_S12","RF4A2",3,4,0.1,6.83,1,12,2,4.22552380000002,1
"Exp2_S12","RF3A2",2,3,0.1,6.72,1,13,2,7.71540559999994,1
"Exp2_S12","RF5A5",8,5,0.25,7.64,2,14,2,2.39722019999999,1
"Exp2_S12","RF3A2",2,3,0.1,6.72,2,15,2,3.34136699999999,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,2,16,2,3.50391460000037,1
"Exp2_S12","RF4A2",3,4,0.1,6.83,2,17,2,6.05997819999993,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,2,18,2,6.62893230000009,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,2,19,2,2.18797570000015,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,2,20,2,5.7172028,1
"Exp2_S12","RF4A5",7,4,0.25,7.04,2,21,2,1.64900499999976,1
"Exp2_S12","RF5A2",4,5,0.1,6.97,2,22,2,16.3587327999999,1
"Exp2_S12","RF0A0",1,0,0,7.22,2,23,2,3.98625529999981,1
"Exp2_S12","RF3A10",10,3,0.5,6.99,2,24,2,1.84824939999999,1
"Exp2_S12","RF8A2",5,8,0.1,7.52,2,25,2,14.7712914999997,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,2,26,2,28.2166222999999,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,1,1,3,12.7204627,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,1,2,3,4.12091320000002,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,1,3,3,10.3113545,1
"Exp2_S12","RF5A5",8,5,0.25,7.64,1,4,3,18.7201653,1
"Exp2_S12","RF3A10",10,3,0.5,6.99,1,5,3,6.52148880000004,1
"Exp2_S12","RF4A5",7,4,0.25,7.04,1,6,3,12.3082674,1
"Exp2_S12","RF5A2",4,5,0.1,6.97,1,7,3,3.42098839999994,1
"Exp2_S12","RF8A2",5,8,0.1,7.52,1,8,3,30.6640652999999,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,1,9,3,19.7638265000001,1
"Exp2_S12","RF0A0",1,0,0,7.22,1,10,3,6.06975549999993,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,1,11,3,3.37788909999995,1
"Exp2_S12","RF4A2",3,4,0.1,6.83,1,12,3,7.2092611999999,1
"Exp2_S12","RF3A2",2,3,0.1,6.72,1,13,3,40.1640738999999,1
"Exp2_S12","RF5A5",8,5,0.25,7.64,2,14,3,4.56479349999995,1
"Exp2_S12","RF3A2",2,3,0.1,6.72,2,15,3,4.63619309999967,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,2,16,3,18.1381425,1
"Exp2_S12","RF4A2",3,4,0.1,6.83,2,17,3,8.85210150000012,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,2,18,3,7.1569884999999,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,2,19,3,3.12432860000035,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,2,20,3,6.55592389999993,1
"Exp2_S12","RF4A5",7,4,0.25,7.04,2,21,3,5.71316989999968,1
"Exp2_S12","RF5A2",4,5,0.1,6.97,2,22,3,23.0626427000002,1
"Exp2_S12","RF0A0",1,0,0,7.22,2,23,3,4.6902600999997,1
"Exp2_S12","RF3A10",10,3,0.5,6.99,2,24,3,4.20008389999975,1
"Exp2_S12","RF8A2",5,8,0.1,7.52,2,25,3,21.5949366,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,2,26,3,84.9444945,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,1,1,4,13.8551286,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,1,2,4,8.17681000000002,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,1,3,4,180,0
"Exp2_S12","RF5A5",8,5,0.25,7.64,1,4,4,180,0
"Exp2_S12","RF3A10",10,3,0.5,6.99,1,5,4,168.1695048,1
"Exp2_S12","RF4A5",7,4,0.25,7.04,1,6,4,40.2765941,1
"Exp2_S12","RF5A2",4,5,0.1,6.97,1,7,4,4.33345129999998,1
"Exp2_S12","RF8A2",5,8,0.1,7.52,1,8,4,32.7212121,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,1,9,4,180,0
"Exp2_S12","RF0A0",1,0,0,7.22,1,10,4,13.4297134000001,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,1,11,4,4.62623569999982,1
"Exp2_S12","RF4A2",3,4,0.1,6.83,1,12,4,22.9536765,1
"Exp2_S12","RF3A2",2,3,0.1,6.72,1,13,4,43.7953553,1
"Exp2_S12","RF5A5",8,5,0.25,7.64,2,14,4,28.8370790000001,1
"Exp2_S12","RF3A2",2,3,0.1,6.72,2,15,4,5.84449349999977,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,2,16,4,39.0005328000002,1
